course_id,Title,Overall_Rating,Topic,Instructor,Video_Duration_Hr,Is Paid,Price
174,MRCPCH fundamentals. Inborn errors of metabolism.,0,Membership Website,Shaimaa Salah,3.5,YES,29.98
175,Leading Effective Meetings - You Can Lead Effective Meetings,4.5,Meetings,TJ Walker,27,YES,158.98
176,Certificate Course on VSDC Video Editor 2021,4.5,Video Editing,Venkatesh B,2.5,YES,44.98
177,Podcast For Business | How To Grow A Business With Podcast,4.8,Podcasting,Zoolord Academy,1,YES,128.98
178,eBook Marketing Kit,5,eBook Creation,Johnathan Leow,2,YES,29.98
179,Financial Modeling Level 1,0,Financial Modeling,Isaac Alormenu,5,YES,128.98
180,GAP Analysis: A Practical Approach,3.9,Project Management,Illumeo Learning,0.733333333333333,YES,34.98
181,Youtube: Beginners Guide To A Successful Channel,3.6,YouTube Marketing,Eduonix Learning Solutions,2.5,YES,49.98
182,Create Action 2D RPG Game  in Unity,5,Unity,Paul Hadiza,10,YES,34.98
183,Learn Krav Maga for Self Defense Fast!,4.9,Self-Defense,Patrick Cumiskey,3.5,YES,29.98
184,The Flow State Transformational Training Video Course,4.2,Unknown,Dashama Konah,18,YES,218.98
185,Flying the Messerschmitt Bf 109 K,5,Aviation,"Graham ""The Baron"" Hesketh",1,YES,29.98
186,Creating Kingdom Leaders to Impact the World,5,Christianity,Tim Gregory,2.5,YES,29.98
187,The Complete Cyber Security Course : Network Security!,4.5,Cyber Security,Nathan House,12.5,YES,128.98
188,Texture an Industrial Door for Games with nDo for CryENGINE,5,Game Texturing,3dmotive LLC,2.5,YES,29.98
189,Building Trust in the Digital Classroom,5,Teaching Online,"Jesse Harris, SPHR",0.666666666666666,YES,49.98
190,Build your own GPS tracking system-Raspberry Pi Zero W 2021,4.5,GPS,comfiny .,2,YES,118.98
191,The Secrets to Drawing,4.6,Drawing,Matthew Fussell,5.5,YES,40.98
192,Change Your Mind and Change Your Life,0,Mindset,David Lucas,1.5,YES,64.98
193,Live Stream DJ Sets Using OBS (Open Broadcaster Software),4.6,Live Streaming,Ross Palmer,1.5,YES,40.98
194,"Design Bundle: AutoCAD, SketchUp, Photoshop, 3ds Max & V-Ray",0,AutoCAD,Leyla A,2.5,YES,29.98
195,Arabic language | The comprehensive course - Learn modern,4.6,Arabic Language,Fadi G. C.,21,YES,168.98
196,Pianoforall - Incredible New Way To Learn Piano & Keyboard,4.6,Piano,Robin Hall,10,YES,128.98
197,Meditation for Beginners: Taming The Monkey Mind,4.3,Unknown,Ken Wells,1.5,YES,138.98
198,WordPress for Beginners - Master WordPress Quickly,0,WordPress,Website Learners,5,YES,88.98
199,Procreate Fashion Illustration For Beginners,0,Unknown,chantelle taylor,1,YES,78.98
200,Sing 4 Profit,0,Music Business,Keith Ayoby,1,YES,29.98
201,Cognitive Psychology for Weight Loss,4,Weight Loss,Weng Honn Kan,1,YES,128.98
202,Ignite your Intuition Pt2,0,Intuition,Vivienne McAlister-Geertz (VivMcG),7,YES,128.98
203,Chess for total beginners,4.5,Chess,Katie Kormanik,1.5,YES,34.98
204,QuickBooks Online Bank Feeds And Importing Transactions,4.7,QuickBooks Online,Mark Smolen,1.5,YES,29.98
205,ACCA PM (F5) Performance Management - A Comprehensive Course,4.9,ACCA,Syed Muhammad Ali Shah,34.5,YES,49.98
206,"Present value, Future value and Capital Structure",4.7,Finance Fundamentals,Professor Francisco Vigario,6,YES,29.98
207,How to refresh your home on a budget,0,Home Improvement,Debbie Washington,1,YES,29.98
208,Google Analytics for Beginners | Top 7 reports,3.3,Google Analytics,Grigor Yovov,2.5,YES,55.98
209,Fashion portrait retouching class,4.4,Photoshop Retouching,Nenad RakiÄ‡eviÄ‡,0.616666666666666,YES,29.98
210,Professional Diploma in Online Education,5,Teaching Online,Shanmugam Subramonian,1,YES,29.98
211,"UMAMI rich broth ""DASHI"" and popular Japanese dishes!",5,Japanese Cooking,Asako Nonaka,1.5,YES,68.98
212,3ds Max Mastery in 7 Hrs: Project Based Intro for Beginners,4.4,3ds Max,Adam Zollinger,8,YES,128.98
213,"Storytelling - inspire, convince, be understood",5,Storytelling,Markus Feigl,1.5,YES,118.98
214,The Complete Wireshark Course: Go from Beginner to Advanced!,4.2,Wireshark,Ermin Kreponic,6.5,YES,128.98
215,Corporate Finance #13 Investment Banking & Long-Term Debt,4.3,Investment Banking,Robert (Bob) Steele,7.5,YES,128.98
216,Audit - Practice Questions on Audit Procedures - Part 3,5,ACCA,Compliance Security and Risk Management,0,YES,29.98
217,Music Theory I,0,Music Theory,Carrie Campbell,1.5,YES,78.98
218,DevOps Project: CICD with Git GitLab Jenkins  and Laravel,4.8,DevOps,Dare Soremi,5,YES,88.98
219,Create your own Meal & Exercise Program - ENDOMORPH,0,Meal Planning,Jacinta Lees,1,YES,118.98
220,SAP WM Warehouse Management,4,SAP Warehouse Management,Ricardo Naya,3.5,YES,104.98
221,Setting your House in Financial Order,5,Personal Finance,Elles Mukunyadze,3,YES,108.98
222,Deep Dive Into The Breath: Seven Day Breath Challenge,5,Breathing Techniques,Charlie Kruse,2.5,YES,29.98
223,PHOTOSHOP: Create Your Graphic Web Design & Personal Brand,4.1,Photoshop,Jens Belner,4,YES,29.98
224,Slack (Beginners & Advanced): Fast Track Training,5,Slack,Douglas Melvin,1,YES,78.98
225,Learn Biblical Greek Verbs,0,Greek Language,Dr. Derek Cooper,2.5,YES,49.98
226,Project Management for Engineers,0,Unknown,Vahid Faghihi,20.5,YES,128.98
227,Chronic Care Management For Care Coordinators,3.8,Healthcare,Erik Ilyayev,2,YES,40.98
228,Shopify for Designers: Figma and Branding Crash Course,0,Shopify,Working With Shopify,1.5,YES,29.98
229,Leaflet Mobile GIS Mapping,5,Leaflet,Victor Neene,6.5,YES,88.98
230,The Ultimate Beginner To Professional Procreate Course!,0,Procreate Digital Illustration App,Live To Create,1,YES,29.98
231,Makeup Photography Coach Certification,3.5,Makeup Artistry,Julia Shantal,1,YES,108.98
232,Measurement Systems Analysis (MSA) Training Course,0,Quality Assurance,Olanab Consults,0.666666666666666,YES,44.98
233,Statistics: Regression Analysis Using Excel,5,Database Management,Stephen Peplow,2,YES,29.98
234,Applied Logic (Level 2),4.8,PLC,Paul Lynn,8,YES,29.98
235,The Ultimate Weight Loss Program,0,Weight Loss,Kameliya Dimova,1.5,YES,34.98
236,Learn Figma: The Complete UX/UI Design Essentials Course,4.5,Figma,Max Brinckmann,4,YES,49.98
237,TIA Portal Master Project (Level 5),4.6,PLC,Paul Lynn,29,YES,29.98
238,Complete Linux Bash Shell Scripting with Real Life Examples,4.7,Shell Scripting,"Imran Afzal (270,000+ students)",14.5,YES,128.98
239,A Creator's Guide to NFTs,4.4,NFT (Non-Fungible Tokens),Sinjun Wesson,1.5,YES,29.98
240,Realignment With Love,0,Love,Irem Erdem,3.5,YES,44.98
241,RPG Core Combat Creator: Learn Intermediate Unity C# Coding,4.8,C#,Ben Tristem,27.5,YES,198.98
242,Teen Entrepreneurs: Starting An Online Business,5,Digital Marketing,John J Peterson,2.5,YES,68.98
243,5-Week Sleep Transformation,0,Sleep,Angela Holliday-Bell,1,YES,218.98
244,"Certified English Course, Indian Spiritual Dance learning 4",0,Unknown,Sarita Wariyer,1,YES,34.98
245,Restoring Humanity,0,Humanities,Nolan Pillay,0.516666666666666,YES,29.98
246,Agile Fundamentals: Including Scrum and Kanban - 2021,4.5,Agile,The BA Guide | Jeremy Aschenbrenner,4.5,YES,198.98
247,"Integrated Project Teams (IPTs), Charters and TechStat",0,Compliance (IT),Zen Federal,1.5,YES,218.98
248,The Real Estate Pro Forma Modeling Master Class,4.7,Financial Modeling,Justin Kivel,9,YES,138.98
249,St John Ambulance: Official Baby & Paediatric First Aid,4.6,First Aid,Expert Academy,0.533333333333333,YES,59.98
250,SAP CO: Production VARIANCE ANALYSIS in S/4 HANA 1909,4.5,SAP FICO,Karanam Sreedhar,9,YES,29.98
251,Simplify Collaboration & Communication with Microsoft Teams,0,Microsoft Teams,SONIC Performance Support - E-Learning Experts,2.5,YES,29.98
252,Ultimate AWS Certified Solutions Architect Associate 2021,4.7,AWS Certification,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",26,YES,128.98
253,Night Flying,5,Aviation,"Graham ""The Baron"" Hesketh",2,YES,29.98
254,How to Find Business Ideas For Entrepreneurship,4.3,Business Idea Generation,Robin & Jesper,3.5,YES,128.98
255,Selenium in C# - Setup Simple Test Automation Framework,4.6,Selenium WebDriver,Tigran Ter-Karapetyants,4,YES,40.98
